1000e;J;TR-FR-EN;1000th;J;
100e;J;TR-FR-EN;100th;J;
100 mètres haies;S;TR-FR-EN;100 metre hurdles;S;
100 mètres;S;TR-FR-EN;100 metres;S;
10 Downing Street;S;TR-FR-EN;10 Downing Street;S;
10 Downing Street;S;TR-FR-EN;Number 10;S;
10e;J;TR-FR-EN;10th;J;
110 mètres haies;S;TR-FR-EN;110 metre hurdles;S;
11e;J;TR-FR-EN;11th;J;
11-Septembre;S;TR-FR-EN;9/11;S;
120-cellules;S;TR-FR-EN;120-cell;S;
120-cellules;S;TR-FR-EN;hecatonicosachoron;S;
12e;J;TR-FR-EN;12th;J;
13e;J;TR-FR-EN;13th;J;
1492;S;TR-FR-EN;1492;S;
14e;J;TR-FR-EN;14th;J;
155e;J;TR-FR-EN;155th;J;
15e;J;TR-FR-EN;15th;J;
16-cellules;S;TR-FR-EN;16-cell;S;
16-cellules;S;TR-FR-EN;hexadecachoron;S;
16e;J;TR-FR-EN;16th;J;
17e;J;TR-FR-EN;17th;J;
17e parallèle;S;TR-FR-EN;17th parallel;S;
18e;J;TR-FR-EN;18th;J;
1968;S;TR-FR-EN;1968;S;
19e;J;TR-FR-EN;19th;J;
1ère classe;S;TR-FR-EN;first class;S;
1er;J;TR-FR-EN;1st;J;
1FN;S;TR-FR-EN;1NF;S;
1re classe;S;TR-FR-EN;first class;S;
200 mètres;S;TR-FR-EN;200 meters;S;
200 mètres;S;TR-FR-EN;200 metres;S;
20e;J;TR-FR-EN;20th;J;
21e;J;TR-FR-EN;21st;J;
22 mètres;S;TR-FR-EN;22 metre zone;S;
24-cellules;S;TR-FR-EN;24-cell;S;
24-cellules;S;TR-FR-EN;icositetrachoron;S;
2D;J;TR-FR-EN;2D;J;
2d;J;TR-FR-EN;2nd;J;
2e classe;S;TR-FR-EN;second class;S;
2e;J;TR-FR-EN;2nd;J;
2ème classe;S;TR-FR-EN;second class;S;
2FN;S;TR-FR-EN;2NF;S;
2 parmi 5 entrelacé;S;TR-FR-EN;2/5 interleaved;S;
38e parallèle;S;TR-FR-EN;38th parallel;S;
3e classe;S;TR-FR-EN;third class;S;
3e;J;TR-FR-EN;3rd;J;
3ème classe;S;TR-FR-EN;third class;S;
3FN;S;TR-FR-EN;3NF;S;
49e parallèle;S;TR-FR-EN;49th parallel;S;
4e;J;TR-FR-EN;4th;J;
4FN;S;TR-FR-EN;4NF;S;
4x4;S;TR-FR-EN;4x4;S;
4x4;S;TR-FR-EN;four by four;S;
5-cellules;S;TR-FR-EN;5-cell;S;
5-cellules;S;TR-FR-EN;pentachoron;S;
5e;J;TR-FR-EN;5th;J;
5FN;S;TR-FR-EN;5NF;S;
600-cellules;S;TR-FR-EN;600-cell;S;
600-cellules;S;TR-FR-EN;hexacosichoron;S;
60 mètres haies;S;TR-FR-EN;60 metre hurdles;S;
6e;J;TR-FR-EN;6th;J;
7e;J;TR-FR-EN;7th;J;
800 mètres;S;TR-FR-EN;800 metres;S;
89;S;TR-FR-EN;89;S;
89;S;TR-FR-EN;eight-nine move;S;
8e;J;TR-FR-EN;8th;J;
9e;J;TR-FR-EN;9th;J;
A1;S;TR-FR-EN;A1;S;
A380;S;TR-FR-EN;A380;S;
A48;S;TR-FR-EN;A48;S;
A5/1;S;TR-FR-EN;A5/1;S;
A5/2;S;TR-FR-EN;A5/2;S;
AAAA-MM-JJ;S;TR-FR-EN;YYYY-MM-DD;S;
AAAAMMJJ;S;TR-FR-EN;YYYYMMDD;S;
Aalandaise;S;TR-FR-EN;Ålandic;S;
Aalandaise;S;TR-FR-EN;Ålandish;S;
Aalandais;S;TR-FR-EN;Ålandic;S;
Aalandais;S;TR-FR-EN;Ålandish;S;
aalénien;J;TR-FR-EN;aalenian;J;
Aalénien;S;TR-FR-EN;Aalenian;S;
Aalen;S;TR-FR-EN;Aalen;S;
aari;S;TR-FR-EN;Aari;S;
aasá;S;TR-FR-EN;Asa;S;
aasax;S;TR-FR-EN;Asa;S;
AAS;S;TR-FR-EN;AAS;S;
aa;S;TR-FR-EN;aa;S;
abaca;S;TR-FR-EN;abaca;S;
abactérien;J;TR-FR-EN;abacterial;J;
abadá;S;TR-FR-EN;abadá;S;
abadèche barbiche;S;TR-FR-EN;snake blenny;S;
abadèche;S;TR-FR-EN;cusk-eel;S;
abadi;S;TR-FR-EN;Abadi;S;
abaga;S;TR-FR-EN;Abaga;S;
abaissant;J;TR-FR-EN;degrading;J;
abaissant;J;TR-FR-EN;demeaning;J;
abaissant;J;TR-FR-EN;lowering;J;
abaisse-langue;S;TR-FR-EN;tongue depressor;S;
abaissement axial;S;TR-FR-EN;structural saddle;S;
abaissement d’axe;S;TR-FR-EN;structural low;S;
abaissement d’orbite;S;TR-FR-EN;orbit lowering;S;
abaissement;S;TR-FR-EN;abasement;S;
abaissement;S;TR-FR-EN;abatement;S;
abaissement;S;TR-FR-EN;abjection;S;
abaissement;S;TR-FR-EN;abjectness;S;
abaissement;S;TR-FR-EN;adversity;S;
abaissement;S;TR-FR-EN;couching;S;
abaissement;S;TR-FR-EN;curtailment;S;
abaissement;S;TR-FR-EN;cut;S;
abaissement;S;TR-FR-EN;decay;S;
abaissement;S;TR-FR-EN;decrease;S;
abaissement;S;TR-FR-EN;decrepitude;S;
abaissement;S;TR-FR-EN;degradation;S;
abaissement;S;TR-FR-EN;demotion;S;
abaissement;S;TR-FR-EN;derogation;S;
